l_host_is_superhost,n_host_listings_count,n_host_verifications,l_host_has_profile_pic,l_host_identity_verified,f_property_type,n_accommodates,n_bedrooms,n_beds,n_min_nights,l_has_availability,n_sales_30,n_sales_60,n_sales_90,n_sales_365,n_number_of_reviews,n_review_scores_rating,l_instant_bookable,n_reviews_per_month,f_neighbourhood_cleansed,n_bathrooms,usd_price,flag_reviews_per_month,flag_review_scores_rating,n_days_since_1st,n_days_since_last,d_Cleaning_before_checkout,d_Extra_pillows_and_blankets,d_First_aid_kit,d_High_chair,d_Iron,d_Patio_or_balcony,d_Private_entrance,d_Room_darkening_shades,d_Single_level_home,d_Waterfront,d_Window_guards,d_wifi,d_HDTV,d_Dedicated__Workspace,d_Paid__Parking,d_Free__Parking,d_Refrigerator,d_Fitness,d_stove,d_shampoo,d_hot__water,d_Washer,d_air__condition,d_Smart__Lock,d_Dryer,d_Kitchen,d_Oven,d_Children,d_Microwave,d_garden,d_breakfast,d_Bed_linens,d_Bread_maker,d_Building_staff,d_Carbon_monoxide_alarm,d_Coffee_maker,d_Cooking_basics,d_Dishes_and_silverware,d_Elevator,d_Essentials,d_Fire_extinguisher,d_Hangers,d_Heating,d_Host_greets_you,d_Indoor_fireplace,d_Keypad,d_Long_term_stays_allowed,d_Luggage_dropoff_allowed,usd_price_ln,n_days_since_last_ln,n_days_since_1st_ln,n_accommodates_ln,n_accommodates_ln2,n_accommodates_2,f_has_1_review_monthly,f_review_scores_rating,f_number_of_reviews,f_sales_365,f_sales_90,f_sales_60,f_sales_30,f_min_nights,f_beds,f_bedrooms,f_bathrooms,f_host_listing,flag_n_days_since,f_host_accepts_all
0,16,7,1,1,condominium,4,1,2,2,1,0,0,0,0,138,94,0,1.29,Khlong San,1,34.881,0,0,3212,324,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,3.5519422683545807,5.780743515792329,8.074649075066652,1.3862943611198906,1.9218120556728056,64,1,2,3,0,0,0,0,2,3,1,1,2,0,0
0,1,6,1,1,apartment,4,2,2,30,1,30,60,90,365,67,91,0,0.62,Khlong Toei,2,74.382,0,0,3240,392,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.309213977084065,5.971261839790462,8.083328608786376,1.3862943611198906,1.9218120556728056,64,1,2,3,3,3,1,2,3,3,2,2,1,0,0
0,10,9,1,1,apartment,4,1,2,15,1,0,0,0,16,275,95,1,2.72,Parthum Wan,1,78.96900000000001,0,0,3029,302,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,4.369055370392717,5.71042701737487,8.015987811027237,1.3862943611198906,1.9218120556728056,64,1,2,3,0,0,0,0,3,3,1,1,2,0,1
1,12,9,1,1,apartment,5,2,2,28,1,3,3,3,3,77,92,1,0.72,Phra Khanong,1,43.56,0,0,3204,367,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,3.77413929806476,5.905361848054571,8.07215530818825,1.6094379124341003,2.5902903939802346,125,1,2,3,0,1,1,1,3,3,2,1,2,0,0
0,2,7,1,1,condominium,4,1,1,1,1,30,60,90,365,165,91,1,2.27,Chatu Chak,1,24.09,0,0,2184,156,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,3.18179681662678,5.049856007249537,7.688913336864796,1.3862943611198906,1.9218120556728056,64,1,2,3,3,3,1,2,1,3,1,1,2,0,1
1,1,7,1,1,condominium,2,1,1,60,1,1,1,1,185,93,98,1,0.93,Ratchathewi,1,24.915000000000003,0,0,3008,355,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,3.215470031733368,5.872117789475416,8.00903068506973,0.6931471805599453,0.4804530139182014,8,1,2,3,2,1,1,1,3,3,1,1,1,0,1
0,2,7,1,1,apartment,4,2,2,30,1,0,0,0,0,80,96,0,0.77,Khlong San,2,57.651,0,0,3118,331,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,4.0544075926184,5.802118375377063,8.044947049617722,1.3862943611198906,1.9218120556728056,64,1,2,3,0,0,0,0,3,3,2,2,2,0,0
0,1,5,1,0,condominium,4,1,2,1,1,0,0,0,94,174,91,1,1.65,Khlong Toei,1,26.895,0,0,3164,139,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,3.291940395725206,4.9344739331306915,8.059592328887545,1.3862943611198906,1.9218120556728056,64,1,2,3,1,0,0,0,1,3,1,1,1,0,1
1,42,7,1,0,apartment,3,1,1,1,1,30,60,90,365,418,90,1,4.08,Sathon,1,16.830000000000002,0,0,3073,70,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,2.8231630082027146,4.248495242049359,8.030409562130485,1.0986122886681098,1.206948960812582,27,1,2,3,3,3,1,2,1,3,1,1,2,0,1
1,3,10,1,1,condominium,2,1,1,14,1,0,0,0,184,25,98,0,0.24,Vadhana,1,33,0,0,3113,72,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,3.4965075614664802,4.276666119016055,8.043342170441608,0.6931471805599453,0.4804530139182014,8,1,2,2,2,0,0,0,3,3,1,1,2,0,0
